year,mean
1949,23.502605633802816
1950,31.58663157894737
1951,21.09033898305085
1952,21.38961432506887
1957,17.891324503311257
1958,20.56710455764075
1959,17.804779411764706
1960,19.990602409638555
1961,14.576666666666666
